[2022-04-28T22:05:54]  --------------------EJECUCIÓN 2022-04-28T22:05:54--------------------
[2022-04-28T22:05:59]  El campista N1 ha llegado al campamento
[2022-04-28T22:05:59]  El campista N1 se sitúa en la entrada B
[2022-04-28T22:06]  El monitor M1 se sitúa en la entrada B
[2022-04-28T22:06]  El monitor M3 se sitúa en la entrada B
[2022-04-28T22:06:01]  El monitor M1 ha abierto la entrada B
[2022-04-28T22:06:01]  El monitor M1 ha entrado (B) dentro del campamento 
[2022-04-28T22:06:01]  El campista N1 ha entrado (B) dentro del campamento
[2022-04-28T22:06:01]  El monitor M3 ha entrado (B) dentro del campamento 
[2022-04-28T22:06:01]  El campista N1 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:06:01]  El monitor M1 va a preparar meriendas
[2022-04-28T22:06:01]  El campista N1 elige competir en la soga
[2022-04-28T22:06:01]  El monitor M3 va a preparar meriendas
[2022-04-28T22:06:01]  El monitor M3 empieza a preparar la merienda Bandeja2
[2022-04-28T22:06:01]  El campista N1 espera para competir en la soga
[2022-04-28T22:06:01]  El monitor M1 empieza a preparar la merienda Bandeja1
[2022-04-28T22:06:01]  El monitor M2 se sitúa en la entrada A
[2022-04-28T22:06:02]  El campista N2 ha llegado al campamento
[2022-04-28T22:06:02]  El campista N2 se sitúa en la entrada B
[2022-04-28T22:06:02]  El campista N2 ha entrado (B) dentro del campamento
[2022-04-28T22:06:02]  El campista N2 elige tirarse por la tirolina
[2022-04-28T22:06:02]  El campista N2 se ha puesto a la cola de la tirolina
[2022-04-28T22:06:03]  El monitor M2 ha abierto la entrada A
[2022-04-28T22:06:03]  El monitor M2 ha entrado (A) dentro del campamento 
[2022-04-28T22:06:03]  El monitor M2 llega a la tirolina
[2022-04-28T22:06:03]  El monitor M2 prepara a un campista
[2022-04-28T22:06:03]  El monitor M4 se sitúa en la entrada A
[2022-04-28T22:06:03]  El monitor M4 ha entrado (A) dentro del campamento 
[2022-04-28T22:06:03]  El monitor M4 llega a la actividad de soga
[2022-04-28T22:06:03]  El monitor M4 espera campistas en la soga
[2022-04-28T22:06:04]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:06:04]  El campista N2 se tira por la tirolina!
[2022-04-28T22:06:06]  El monitor M3 ha preparado la merienda Bandeja2
[2022-04-28T22:06:06]  El monitor M3 empieza a preparar la merienda Bandeja3
[2022-04-28T22:06:07]  El campista N2 se baja de la tirolina
[2022-04-28T22:06:07]  El campista N2 descansa en la zona común
[2022-04-28T22:06:07]  El monitor M1 ha preparado la merienda Bandeja1
[2022-04-28T22:06:07]  El monitor M1 empieza a preparar la merienda Bandeja4
[2022-04-28T22:06:08]  El campista N3 ha llegado al campamento
[2022-04-28T22:06:08]  El campista N3 se sitúa en la entrada B
[2022-04-28T22:06:08]  El campista N3 ha entrado (B) dentro del campamento
[2022-04-28T22:06:08]  El campista N3 elige competir en la soga
[2022-04-28T22:06:08]  El campista N3 espera para competir en la soga
[2022-04-28T22:06:11]  El campista N4 ha llegado al campamento
[2022-04-28T22:06:11]  El campista N4 se sitúa en la entrada A
[2022-04-28T22:06:11]  El campista N4 ha entrado (A) dentro del campamento 
[2022-04-28T22:06:11]  El campista N4 elige tirarse por la tirolina
[2022-04-28T22:06:11]  El campista N4 se ha puesto a la cola de la tirolina
[2022-04-28T22:06:11]  El monitor M2 prepara a un campista
[2022-04-28T22:06:12]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:06:12]  El campista N4 se tira por la tirolina!
[2022-04-28T22:06:12]  El campista N2 sale de la zona común
[2022-04-28T22:06:12]  El campista N2 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:06:12]  El campista N2 elige competir en la soga
[2022-04-28T22:06:12]  El campista N2 espera para competir en la soga
[2022-04-28T22:06:13]  El monitor M1 ha preparado la merienda Bandeja4
[2022-04-28T22:06:13]  El monitor M1 empieza a preparar la merienda Bandeja5
[2022-04-28T22:06:13]  El monitor M3 ha preparado la merienda Bandeja3
[2022-04-28T22:06:13]  El monitor M3 empieza a preparar la merienda Bandeja6
[2022-04-28T22:06:15]  El campista N4 se baja de la tirolina
[2022-04-28T22:06:15]  El campista N4 descansa en la zona común
[2022-04-28T22:06:16]  El campista N5 ha llegado al campamento
[2022-04-28T22:06:16]  El campista N5 se sitúa en la entrada A
[2022-04-28T22:06:16]  El campista N5 ha entrado (A) dentro del campamento 
[2022-04-28T22:06:16]  El campista N5 elige competir en la soga
[2022-04-28T22:06:16]  El campista N5 espera para competir en la soga
[2022-04-28T22:06:20]  El monitor M1 ha preparado la merienda Bandeja5
[2022-04-28T22:06:20]  El monitor M1 empieza a preparar la merienda Bandeja7
[2022-04-28T22:06:20]  El monitor M3 ha preparado la merienda Bandeja6
[2022-04-28T22:06:20]  El monitor M3 empieza a preparar la merienda Bandeja8
[2022-04-28T22:06:21]  El campista N4 sale de la zona común
[2022-04-28T22:06:21]  El campista N4 elige tirarse por la tirolina
[2022-04-28T22:06:21]  El campista N4 se ha puesto a la cola de la tirolina
[2022-04-28T22:06:21]  El monitor M2 prepara a un campista
[2022-04-28T22:06:22]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:06:22]  El campista N4 se tira por la tirolina!
[2022-04-28T22:06:22]  El campista N6 ha llegado al campamento
[2022-04-28T22:06:22]  El campista N6 se sitúa en la entrada A
[2022-04-28T22:06:22]  El campista N6 ha entrado (A) dentro del campamento 
[2022-04-28T22:06:22]  El campista N6 elige tirarse por la tirolina
[2022-04-28T22:06:22]  El campista N6 se ha puesto a la cola de la tirolina
[2022-04-28T22:06:26]  El campista N4 se baja de la tirolina
[2022-04-28T22:06:26]  El campista N4 descansa en la zona común
[2022-04-28T22:06:26]  El monitor M2 prepara a un campista
[2022-04-28T22:06:26]  El monitor M1 ha preparado la merienda Bandeja7
[2022-04-28T22:06:26]  El monitor M1 empieza a preparar la merienda Bandeja9
[2022-04-28T22:06:26]  El monitor M3 ha preparado la merienda Bandeja8
[2022-04-28T22:06:26]  El monitor M3 empieza a preparar la merienda Bandeja10
[2022-04-28T22:06:26]  El campista N7 ha llegado al campamento
[2022-04-28T22:06:26]  El campista N7 se sitúa en la entrada A
[2022-04-28T22:06:26]  El campista N7 ha entrado (A) dentro del campamento 
[2022-04-28T22:06:26]  El campista N7 elige competir en la soga
[2022-04-28T22:06:26]  El campista N7 espera para competir en la soga
[2022-04-28T22:06:27]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:06:27]  El campista N6 se tira por la tirolina!
[2022-04-28T22:06:30]  El campista N4 sale de la zona común
[2022-04-28T22:06:30]  El campista N4 elige competir en la soga
[2022-04-28T22:06:30]  El campista N4 espera para competir en la soga
[2022-04-28T22:06:30]  El campista N6 se baja de la tirolina
[2022-04-28T22:06:30]  El campista N6 descansa en la zona común
[2022-04-28T22:06:31]  El monitor M3 ha preparado la merienda Bandeja10
[2022-04-28T22:06:31]  El monitor M3 empieza a preparar la merienda Bandeja11
[2022-04-28T22:06:32]  El monitor M1 ha preparado la merienda Bandeja9
[2022-04-28T22:06:32]  El monitor M1 empieza a preparar la merienda Bandeja12
[2022-04-28T22:06:32]  El campista N8 ha llegado al campamento
[2022-04-28T22:06:32]  El campista N8 se sitúa en la entrada A
[2022-04-28T22:06:32]  El campista N8 ha entrado (A) dentro del campamento 
[2022-04-28T22:06:32]  El campista N8 elige tirarse por la tirolina
[2022-04-28T22:06:32]  El campista N8 se ha puesto a la cola de la tirolina
[2022-04-28T22:06:32]  El monitor M2 prepara a un campista
[2022-04-28T22:06:33]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:06:33]  El campista N8 se tira por la tirolina!
[2022-04-28T22:06:35]  El campista N9 ha llegado al campamento
[2022-04-28T22:06:35]  El campista N9 se sitúa en la entrada A
[2022-04-28T22:06:35]  El campista N9 ha entrado (A) dentro del campamento 
[2022-04-28T22:06:35]  El campista N9 elige tirarse por la tirolina
[2022-04-28T22:06:35]  El campista N9 se ha puesto a la cola de la tirolina
[2022-04-28T22:06:35]  El campista N6 sale de la zona común
[2022-04-28T22:06:35]  El campista N6 elige competir en la soga
[2022-04-28T22:06:35]  El campista N6 espera para competir en la soga
[2022-04-28T22:06:36]  El campista N8 se baja de la tirolina
[2022-04-28T22:06:36]  El campista N8 descansa en la zona común
[2022-04-28T22:06:36]  El monitor M2 prepara a un campista
[2022-04-28T22:06:37]  El monitor M3 ha preparado la merienda Bandeja11
[2022-04-28T22:06:37]  El monitor M3 empieza a preparar la merienda Bandeja13
[2022-04-28T22:06:37]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:06:37]  El campista N9 se tira por la tirolina!
[2022-04-28T22:06:38]  El monitor M1 ha preparado la merienda Bandeja12
[2022-04-28T22:06:38]  El monitor M1 empieza a preparar la merienda Bandeja14
[2022-04-28T22:06:38]  El campista N10 ha llegado al campamento
[2022-04-28T22:06:38]  El campista N10 se sitúa en la entrada B
[2022-04-28T22:06:38]  El campista N10 ha entrado (B) dentro del campamento
[2022-04-28T22:06:38]  El campista N10 elige competir en la soga
[2022-04-28T22:06:38]  El campista N10 espera para competir en la soga
[2022-04-28T22:06:40]  El campista N8 sale de la zona común
[2022-04-28T22:06:40]  El campista N8 elige tirarse por la tirolina
[2022-04-28T22:06:40]  El campista N8 se ha puesto a la cola de la tirolina
[2022-04-28T22:06:41]  El campista N9 se baja de la tirolina
[2022-04-28T22:06:41]  El campista N9 descansa en la zona común
[2022-04-28T22:06:41]  El monitor M2 prepara a un campista
[2022-04-28T22:06:42]  El monitor M2 va a lanzar a un campista
[2022-04-28T22:06:42]  El campista N8 se tira por la tirolina!
[2022-04-28T22:06:42]  El monitor M3 ha preparado la merienda Bandeja13
[2022-04-28T22:06:42]  El monitor M3 empieza a preparar la merienda Bandeja15
[2022-04-28T22:06:43]  El monitor M1 ha preparado la merienda Bandeja14
[2022-04-28T22:06:43]  El monitor M1 empieza a preparar la merienda Bandeja16
[2022-04-28T22:06:44]  El campista N11 ha llegado al campamento
[2022-04-28T22:06:44]  El campista N11 se sitúa en la entrada B
[2022-04-28T22:06:44]  El campista N11 ha entrado (B) dentro del campamento
[2022-04-28T22:06:44]  El campista N11 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:06:44]  El campista N11 elige competir en la soga
[2022-04-28T22:06:44]  El campista N11 espera para competir en la soga
[2022-04-28T22:06:45]  El campista N8 se baja de la tirolina
[2022-04-28T22:06:45]  El campista N8 descansa en la zona común
[2022-04-28T22:06:46]  El campista N9 sale de la zona común
[2022-04-28T22:06:46]  El campista N9 no puede merendar porque no ha realizado suficientes actividades, se dispone a jugar
[2022-04-28T22:06:46]  El campista N9 elige competir en la soga
[2022-04-28T22:06:46]  El campista N9 espera para competir en la soga
[2022-04-28T22:06:46]  	------EQUIPOS SOGA------	
EQUIPO A: N6, N1, N10, N11, N3
EQUIPO B: N9, N4, N7, N2, N5
	------------------------	

[2022-04-28T22:06:46]  El campista N9 tira de la soga!
[2022-04-28T22:06:46]  El campista N7 tira de la soga!
[2022-04-28T22:06:46]  El campista N4 tira de la soga!
